----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Conv2d-466             [-1, 32, 3, 3]          36,864
     BatchNorm2d-467           [-1, 1184, 3, 3]           2,368
            ReLU-468           [-1, 1184, 3, 3]               0
          Conv2d-469            [-1, 128, 3, 3]         151,552
     BatchNorm2d-470            [-1, 128, 3, 3]             256
            ReLU-471            [-1, 128, 3, 3]               0
          Conv2d-472             [-1, 32, 3, 3]          36,864
     BatchNorm2d-473           [-1, 1216, 3, 3]           2,432
            ReLU-474           [-1, 1216, 3, 3]               0
          Conv2d-475            [-1, 128, 3, 3]         155,648
     BatchNorm2d-476            [-1, 128, 3, 3]             256
            ReLU-477            [-1, 128, 3, 3]               0
          Conv2d-478             [-1, 32, 3, 3]          36,864
     BatchNorm2d-479           [-1, 1248, 3, 3]           2,496
            ReLU-480           [-1, 1248, 3, 3]               0
          Conv2d-481            [-1, 128, 3, 3]         159,744
     BatchNorm2d-482            [-1, 128, 3, 3]             256
            ReLU-483            [-1, 128, 3, 3]               0
          Conv2d-484             [-1, 32, 3, 3]          36,864
     BatchNorm2d-485           [-1, 1280, 3, 3]           2,560
            ReLU-486           [-1, 1280, 3, 3]               0
          Conv2d-487            [-1, 128, 3, 3]         163,840
     BatchNorm2d-488            [-1, 128, 3, 3]             256
            ReLU-489            [-1, 128, 3, 3]               0
          Conv2d-490             [-1, 32, 3, 3]          36,864
     BatchNorm2d-491           [-1, 1312, 3, 3]           2,624
            ReLU-492           [-1, 1312, 3, 3]               0
          Conv2d-493            [-1, 128, 3, 3]         167,936
     BatchNorm2d-494            [-1, 128, 3, 3]             256
            ReLU-495            [-1, 128, 3, 3]               0
          Conv2d-496             [-1, 32, 3, 3]          36,864
     BatchNorm2d-497           [-1, 1344, 3, 3]           2,688
            ReLU-498           [-1, 1344, 3, 3]               0
          Conv2d-499            [-1, 128, 3, 3]         172,032
     BatchNorm2d-500            [-1, 128, 3, 3]             256
            ReLU-501            [-1, 128, 3, 3]               0
          Conv2d-502             [-1, 32, 3, 3]          36,864
     BatchNorm2d-503           [-1, 1376, 3, 3]           2,752
            ReLU-504           [-1, 1376, 3, 3]               0
          Conv2d-505            [-1, 128, 3, 3]         176,128
     BatchNorm2d-506            [-1, 128, 3, 3]             256
            ReLU-507            [-1, 128, 3, 3]               0
          Conv2d-508             [-1, 32, 3, 3]          36,864
     BatchNorm2d-509           [-1, 1408, 3, 3]           2,816
            ReLU-510           [-1, 1408, 3, 3]               0
          Conv2d-511            [-1, 128, 3, 3]         180,224
     BatchNorm2d-512            [-1, 128, 3, 3]             256
            ReLU-513            [-1, 128, 3, 3]               0
          Conv2d-514             [-1, 32, 3, 3]          36,864
     BatchNorm2d-515           [-1, 1440, 3, 3]           2,880
            ReLU-516           [-1, 1440, 3, 3]               0
          Conv2d-517            [-1, 128, 3, 3]         184,320
     BatchNorm2d-518            [-1, 128, 3, 3]             256
            ReLU-519            [-1, 128, 3, 3]               0
          Conv2d-520             [-1, 32, 3, 3]          36,864
